526,507
538,497
548,490
558,484
565,478
575,469
586,459
596,453
603,450
613,440
624,433
634,426
647,417
659,406
667,400
678,391
687,385
695,378
707,371
719,364
725,359
737,350
748,344
754,336
766,328
775,321
785,314
795,308
803,299
812,293
822,287
832,279
844,273
861,261
883,241
890,238
901,222
905,211
912,178
912,168
908,152
906,138
886,112
875,97
863,93
847,84
829,78
814,73
790,68
759,62
737,62
716,60
673,60
652,60
634,60
614,61
597,61
577,62
560,67
542,67
523,70
507,76
488,79
471,88
455,92
412,108
393,119
